Session,Cluster,Note 1 midi,Note 1 name,Note 1 encoding,Note 2 midi,Note 2 encoding,Note 2 encoding
1,89,86,High D,1000000000001_0000000000,89,High F (front),1100100000000_0000000000
1,114,69,A Without octave key,0010100000000_0000000000,82,Bb With octave key (side key),1010100000000_0000000001
1,82,71,B Without octave key,0010000000000_0000000000,72,C Without octave key,0000100000000_0000000000
1,82,67,G Without octave key,0010110000000_0000000000,69,A Without octave key,0010100000000_0000000000
1,120,63,Eb Without octave key,0010110000000_1100110000,70,Bb Without octave key (Bis key),0011100000000_0000000000
1,11,63,Eb Without octave key,0010110000000_1100110000,90,High F# (front),1100100000000_0010000000
1,89,84,C With octave key,1000100000000_0000000000,87,High Eb,1000000000011_0000000000
2,80,63,Eb Without octave key,0010110000000_1100110000,77,F With octave key,1010110000000_1000000000
2,-1,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000
2,123,78,F# With octave key (main),1010110000000_0100000000,83,B With octave key,1010000000000_0000000000
2,123,85,C# With octave key,1000000000000_0000000000,89,High F (front),1100100000000_0000000000
2,68,58,Low Bb,0010110001000_1100101000,77,F With octave key,1010110000000_1000000000
2,30,61,Low C#,0010110100000_1100101000,89,High F (side),1000000000111_0000000100
2,30,59,Low B,0010110010000_1100101000,88,High E,1000000000011_0000000100
2,49,58,Low Bb,0010110001000_1100101000,84,C With octave key,1000100000000_0000000000
2,105,66,F# Without octave key (Chromatic),0010110000000_1001000000,90,High F# (front),1100100000000_0010000000
2,49,58,Low Bb,0010110001000_1100101000,83,B With octave key,1010000000000_0000000000
2,111,72,C Without octave key,0000100000000_0000000000,90,High F# (front),1100100000000_0010000000
2,123,84,C With octave key,1000100000000_0000000000,89,High F (front),1100100000000_0000000000
2,30,60,Low C,0010110000000_1100101000,88,High E,1000000000011_0000000100
2,111,65,F Without octave key,0010110000000_1000000000,84,C With octave key,1000100000000_0000000000
2,111,65,F Without octave key,0010110000000_1000000000,83,B With octave key,1010000000000_0000000000
2,84,80,G# With octave key (default),1010111000000_0000000000,89,High F (side),1000000000111_0000000100
2,111,66,F# Without octave key (Chromatic),0010110000000_1001000000,84,C With octave key,1000100000000_0000000000
2,84,80,G# With octave key (default),1010111000000_0000000000,88,High E,1000000000011_0000000100
2,53,67,G Without octave key,0010110000000_0000000000,80,G# With octave key (default),1010111000000_0000000000
2,56,58,Low Bb,0010110001000_1100101000,59,Low B,0010110010000_1100101000
2,30,60,Low C,0010110000000_1100101000,89,High F (side),1000000000111_0000000100
2,123,79,G With octave key,1010110000000_0000000000,83,B With octave key,1010000000000_0000000000
2,80,66,F# Without octave key (Chromatic),0010110000000_1001000000,79,G With octave key,1010110000000_0000000000
2,-1,60,Low C,0010110000000_1100101000,65,F Without octave key,0010110000000_1000000000
2,68,60,Low C,0010110000000_1100101000,79,G With octave key,1010110000000_0000000000
2,68,60,Low C,0010110000000_1100101000,80,G# With octave key (default),1010111000000_0000000000
2,80,66,F# Without octave key (main),0010110000000_0100000000,78,F# With octave key (Chromatic),1010110000000_1001000000
2,73,59,Low B,0010110010000_1100101000,68,G# Without octave key (default),0010111000000_0000000000
2,53,67,G Without octave key,0010110000000_0000000000,81,A With octave key,1010100000000_0000000000
2,101,70,Bb Without octave key (Bis key),0011100000000_0000000000,80,G# With octave key (default),1010111000000_0000000000
2,101,70,Bb Without octave key (side key),0010100000000_0000000000,80,G# With octave key (default),1010111000000_0000000000
2,56,60,Low C,0010110000000_1100101000,63,Eb Without octave key,0010110000000_1100110000
2,141,74,D With octave key,1010110000000_1100100000,78,F# With octave key (Chromatic),1010110000000_1001000000
2,30,61,Low C#,0010110100000_1100101000,88,High E,1000000000011_0000000100
2,123,85,C# With octave key,1000000000000_0000000000,90,High F# (front),1100100000000_0010000000
2,68,59,Low B,0010110010000_1100101000,79,G With octave key,1010110000000_0000000000
2,-1,62,D Without octave key,0010110000000_1100100000,74,D With octave key,1010110000000_1100100000
2,68,61,Low C#,0010110100000_1100101000,81,A With octave key,1010100000000_0000000000
2,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000
2,53,72,C Without octave key,0000100000000_0000000000,85,C# With octave key,1000000000000_0000000000
2,53,71,B Without octave key,0010000000000_0000000000,84,C With octave key,1000100000000_0000000000
2,123,79,G With octave key,1010110000000_0000000000,84,C With octave key,1000100000000_0000000000
2,53,69,A Without octave key,0010100000000_0000000000,83,B With octave key,1010000000000_0000000000
2,53,68,G# Without octave key (default),0010111000000_0000000000,81,A With octave key,1010100000000_0000000000
2,53,69,A Without octave key,0010100000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000
2,85,68,G# Without octave key (default),0010111000000_0000000000,86,High D,1000000000001_0000000000
2,141,75,Eb With octave key,1010110000000_1100110000,78,F# With octave key (Chromatic),1010110000000_1001000000
2,53,70,Bb Without octave key (side key),0010100000000_0000000000,83,B With octave key,1010000000000_0000000000
2,111,64,E Without octave key,0010110000000_1100000000,83,B With octave key,1010000000000_0000000000
2,53,70,Bb Without octave key (Bis key),0011100000000_0000000000,83,B With octave key,1010000000000_0000000000
2,56,61,Low C#,0010110100000_1100101000,63,Eb Without octave key,0010110000000_1100110000
2,123,81,A With octave key,1010100000000_0000000000,85,C# With octave key,1000000000000_0000000000
2,56,58,Low Bb,0010110001000_1100101000,61,Low C#,0010110100000_1100101000
2,123,80,G# With octave key (default),1010111000000_0000000000,84,C With octave key,1000100000000_0000000000
2,53,70,Bb Without octave key (Bis key),0011100000000_0000000000,84,C With octave key,1000100000000_0000000000
2,80,66,F# Without octave key (Chromatic),0010110000000_1001000000,78,F# With octave key (main),1010110000000_0100000000
2,49,58,Low Bb,0010110001000_1100101000,85,C# With octave key,1000000000000_0000000000
