Session,Cluster,Note 1 midi,Note 1 name,Note 1 encoding,Note 2 midi,Note 2 encoding,Note 2 encoding,SEED:10#Note->someanchorsaddedviafixscript
1,21,58,Low Bb,0010110001000_1100101000,84,C With octave key,1000100000000_0000000000
1,13,76,E With octave key,1010110000000_1100000000,78,F# With octave key (Chromatic),1010110000000_1001000000
1,12,73,C# Without octave key,0000000000000_0000000000,78,F# With octave key (Chromatic),1010110000000_1001000000
1,18,61,Low C#,0010110100000_1100101000,86,High D,1000000000001_0000000000
1,24,74,D With octave key,1010110000000_1100100000,90,High F# (side),1000000000111_0010000100
1,19,74,D With octave key,1010110000000_1100100000,89,High F (side),1000000000111_0000000100
1,12,73,C# Without octave key,0000000000000_0000000000,78,F# With octave key (main),1010110000000_0100000000
1,-1,60,Low C,0010110000000_1100101000,65,F Without octave key,0010110000000_1000000000
1,20,71,B Without octave key,0010000000000_0000000000,88,High E,1000000000011_0000000100
1,25,60,Low C,0010110000000_1100101000,90,High F# (front),1100100000000_0010000000
1,22,63,Eb Without octave key,0010110000000_1100110000,86,High D,1000000000001_0000000000
1,16,71,B Without octave key,0010000000000_0000000000,89,High F (side),1000000000111_0000000100
1,14,58,Low Bb,0010110001000_1100101000,90,High F# (front),1100100000000_0010000000
1,20,72,C Without octave key,0000100000000_0000000000,88,High E,1000000000011_0000000100
1,17,70,Bb Without octave key (Bis key),0011100000000_0000000000,90,High F# (side),1000000000111_0010000100
1,16,72,C Without octave key,0000100000000_0000000000,90,High F# (side),1000000000111_0010000100
1,16,71,B Without octave key,0010000000000_0000000000,90,High F# (side),1000000000111_0010000100
2,33,65,F Without octave key,0010110000000_1000000000,86,High D,1000000000001_0000000000
2,36,58,Low Bb,0010110001000_1100101000,79,G With octave key,1010110000000_0000000000
2,26,64,E Without octave key,0010110000000_1100000000,67,G Without octave key,0010110000000_0000000000
2,26,63,Eb Without octave key,0010110000000_1100110000,66,F# Without octave key (main),0010110000000_0100000000
2,29,58,Low Bb,0010110001000_1100101000,82,Bb With octave key (Bis key),1011100000000_0000000000
2,35,76,E With octave key,1010110000000_1100000000,88,High E,1000000000011_0000000100
2,27,71,B Without octave key,0010000000000_0000000000,72,C Without octave key,0000100000000_0000000000
2,33,66,F# Without octave key (Chromatic),0010110000000_1001000000,87,High Eb,1000000000011_0000000000
2,-1,60,Low C,0010110000000_1100101000,65,F Without octave key,0010110000000_1000000000
2,32,58,Low Bb,0010110001000_1100101000,80,G# With octave key (default),1010111000000_0000000000
2,28,60,Low C,0010110000000_1100101000,89,High F (front),1100100000000_0000000000
2,35,79,G With octave key,1010110000000_0000000000,90,High F# (side),1000000000111_0010000100
2,36,59,Low B,0010110010000_1100101000,79,G With octave key,1010110000000_0000000000
2,29,58,Low Bb,0010110001000_1100101000,83,B With octave key,1010000000000_0000000000
2,29,59,Low B,0010110010000_1100101000,83,B With octave key,1010000000000_0000000000
2,35,78,F# With octave key (main),1010110000000_0100000000,90,High F# (side),1000000000111_0010000100
2,-1,81,A With octave key,1010100000000_0000000000,88,High E,1000000000011_0000000100
2,29,59,Low B,0010110010000_1100101000,84,C With octave key,1000100000000_0000000000
2,26,66,F# Without octave key (main),0010110000000_0100000000,66,F# Without octave key (Chromatic),0010110000000_1001000000
2,26,63,Eb Without octave key,0010110000000_1100110000,65,F Without octave key,0010110000000_1000000000
2,35,76,E With octave key,1010110000000_1100000000,89,High F (side),1000000000111_0000000100
2,27,70,Bb Without octave key (Bis key),0011100000000_0000000000,71,B Without octave key,0010000000000_0000000000
2,33,65,F Without octave key,0010110000000_1000000000,87,High Eb,1000000000011_0000000000
2,35,78,F# With octave key (main),1010110000000_0100000000,89,High F (side),1000000000111_0000000100
2,35,78,F# With octave key (Chromatic),1010110000000_1001000000,89,High F (side),1000000000111_0000000100
2,-1,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000
2,33,64,E Without octave key,0010110000000_1100000000,87,High Eb,1000000000011_0000000000
2,34,78,F# With octave key (main),1010110000000_0100000000,88,High E,1000000000011_0000000100
2,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000
2,27,70,Bb Without octave key (side key),0010100000000_0000000000,71,B Without octave key,0010000000000_0000000000
2,34,79,G With octave key,1010110000000_0000000000,89,High F (side),1000000000111_0000000100
2,27,68,G# Without octave key (default),0010111000000_0000000000,69,A Without octave key,0010100000000_0000000000
2,35,77,F With octave key,1010110000000_1000000000,88,High E,1000000000011_0000000100
2,31,75,Eb With octave key,1010110000000_1100110000,88,High E,1000000000011_0000000100
2,34,80,G# With octave key (default),1010111000000_0000000000,89,High F (side),1000000000111_0000000100
2,26,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000
2,26,64,E Without octave key,0010110000000_1100000000,66,F# Without octave key (Chromatic),0010110000000_1001000000
