Session,Cluster,Note 1 midi,Note 1 name,Note 1 encoding,Note 2 midi,Note 2 encoding,Note 2 encoding
1,81,77,F With octave key,1010110000000_1000000000,86,High D,1000000000001_0000000000
1,44,71,B Without octave key,0010000000000_0000000000,91,High F# (front),1100100000000_0010000000
1,17,61,Low C#,0010110100000_1100101000,87,High Eb,1000000000011_0000000000
1,34,65,F Without octave key,0010110000000_1000000000,82,Bb With octave key (Bis key),1011100000000_0000000000
1,135,78,F# With octave key (main),1010110000000_0100000000,81,A With octave key,1010100000000_0000000000
1,118,59,Low B,0010110010000_1100101000,68,G# Without octave key (default),0010111000000_0000000000
1,107,58,Low Bb,0010110001000_1100101000,87,High Eb,1000000000011_0000000000
1,83,70,Bb Without octave key (side key),0010100000000_0000000000,89,High F (front),1100100000000_0000000000
1,44,68,G Without octave key,0010110000000_0000000000,89,High F (front),1100100000000_0000000000
1,115,69,A Without octave key,0010100000000_0000000000,74,D With octave key,1010110000000_1100100000
1,118,58,Low Bb,0010110001000_1100101000,67,F# Without octave key (Chromatic),0010110000000_1001000000
1,34,64,E Without octave key,0010110000000_1100000000,82,Bb With octave key (Bis key),1011100000000_0000000000
1,38,64,E Without octave key,0010110000000_1100000000,68,G Without octave key,0010110000000_0000000000
1,81,78,F# With octave key (Chromatic),1010110000000_1001000000,86,High D,1000000000001_0000000000
1,107,59,Low B,0010110010000_1100101000,86,High D,1000000000001_0000000000
1,7,63,Eb Without octave key,0010110000000_1100110000,83,B With octave key,1010000000000_0000000000
1,34,72,C Without octave key,0000100000000_0000000000,91,High F# (front),1100100000000_0010000000
1,-1,58,Low Bb,0010110001000_1100101000,63,Eb Without octave key,0010110000000_1100110000
1,44,70,Bb Without octave key (Bis key),0011100000000_0000000000,91,High F# (front),1100100000000_0010000000
1,135,78,F# With octave key (Chromatic),1010110000000_1001000000,81,A With octave key,1010100000000_0000000000
1,115,70,Bb Without octave key (Bis key),0011100000000_0000000000,75,Eb With octave key,1010110000000_1100110000
1,44,70,Bb Without octave key (side key),0010100000000_0000000000,91,High F# (front),1100100000000_0010000000
1,38,61,Low C#,0010110100000_1100101000,65,F Without octave key,0010110000000_1000000000
1,41,78,F# With octave key (main),1010110000000_0100000000,91,High F# (front),1100100000000_0010000000
1,-1,58,Low Bb,0010110001000_1100101000,64,E Without octave key,0010110000000_1100000000
1,7,60,Low C,0010110000000_1100101000,80,G# With octave key (default),1010111000000_0000000000
1,81,78,F# With octave key (main),1010110000000_0100000000,87,High Eb,1000000000011_0000000000
1,17,61,Low C#,0010110100000_1100101000,86,High D,1000000000001_0000000000
1,-1,58,Low Bb,0010110001000_1100101000,61,Low C#,0010110100000_1100101000
1,107,59,Low B,0010110010000_1100101000,87,High Eb,1000000000011_0000000000
1,38,62,D Without octave key,0010110000000_1100100000,65,F Without octave key,0010110000000_1000000000
1,-1,58,Low Bb,0010110001000_1100101000,62,D Without octave key,0010110000000_1100100000
1,34,65,F Without octave key,0010110000000_1000000000,83,B With octave key,1010000000000_0000000000
1,81,78,F# With octave key (Chromatic),1010110000000_1001000000,87,High Eb,1000000000011_0000000000
1,115,70,Bb Without octave key (Bis key),0011100000000_0000000000,74,D With octave key,1010110000000_1100100000
1,118,58,Low Bb,0010110001000_1100101000,68,G# Without octave key (default),0010111000000_0000000000
1,7,60,Low C,0010110000000_1100101000,81,A With octave key,1010100000000_0000000000
1,83,70,Bb Without octave key (Bis key),0011100000000_0000000000,89,High F (front),1100100000000_0000000000
1,135,77,F With octave key,1010110000000_1000000000,80,G# With octave key (default),1010111000000_0000000000
1,-1,58,Low Bb,0010110001000_1100101000,66,F# Without octave key (main),0010110000000_0100000000
1,81,77,F With octave key,1010110000000_1000000000,87,High Eb,1000000000011_0000000000
1,145,82,Bb With octave key (Bis key),1011100000000_0000000000,90,High F# (side),1000000000111_0010000100
1,107,58,Low Bb,0010110001000_1100101000,86,High D,1000000000001_0000000000
2,8,60,Low C,0010110000000_1100101000,91,High F# (front),1100100000000_0010000000
2,61,72,C Without octave key,0000100000000_0000000000,82,Bb With octave key (side key),1010100000000_0000000001
2,119,71,B Without octave key,0010000000000_0000000000,90,High F# (side),1000000000111_0010000100
2,8,61,Low C#,0010110100000_1100101000,91,High F# (front),1100100000000_0010000000
2,123,73,C# Without octave key,0000000000000_0000000000,87,High Eb,1000000000011_0000000000
2,9,70,Bb Without octave key (side key),0010100000000_0000000000,88,High E,1000000000011_0000000100
2,-1,58,Low Bb,0010110001000_1100101000,62,D Without octave key,0010110000000_1100100000
2,22,87,High Eb,1000000000011_0000000000,89,High F (side),1000000000111_0000000100
2,48,72,C Without octave key,0000100000000_0000000000,75,Eb With octave key,1010110000000_1100110000
2,22,86,High D,1000000000001_0000000000,89,High F (side),1000000000111_0000000100
2,142,66,F# Without octave key (main),0010110000000_0100000000,81,A With octave key,1010100000000_0000000000
2,22,86,High D,1000000000001_0000000000,90,High F# (side),1000000000111_0010000100
2,125,64,E Without octave key,0010110000000_1100000000,91,High F# (front),1100100000000_0010000000
2,-1,58,Low Bb,0010110001000_1100101000,61,Low C#,0010110100000_1100101000
2,119,73,C# Without octave key,0000000000000_0000000000,90,High F# (side),1000000000111_0010000100
2,69,58,Low Bb,0010110001000_1100101000,60,Low C,0010110000000_1100101000
2,73,60,Low C,0010110000000_1100101000,87,High Eb,1000000000011_0000000000
2,30,82,Bb With octave key (side key),1010100000000_0000000001,89,High F (front),1100100000000_0000000000
2,8,59,Low B,0010110010000_1100101000,91,High F# (front),1100100000000_0010000000
2,-1,58,Low Bb,0010110001000_1100101000,59,Low B,0010110010000_1100101000
2,61,71,B Without octave key,0010000000000_0000000000,82,Bb With octave key (side key),1010100000000_0000000001
2,24,62,D Without octave key,0010110000000_1100100000,67,F# Without octave key (Chromatic),0010110000000_1001000000
2,136,68,G Without octave key,0010110000000_0000000000,88,High E,1000000000011_0000000100
2,31,89,High F (side),1000000000111_0000000100,89,High F (front),1100100000000_0000000000
2,136,68,G Without octave key,0010110000000_0000000000,89,High F (side),1000000000111_0000000100
2,69,61,Low C#,0010110100000_1100101000,62,D Without octave key,0010110000000_1100100000
2,20,75,Eb With octave key,1010110000000_1100110000,91,High F# (front),1100100000000_0010000000
2,25,74,D With octave key,1010110000000_1100100000,90,High F# (side),1000000000111_0010000100
2,136,68,G# Without octave key (default),0010111000000_0000000000,88,High E,1000000000011_0000000100
2,48,73,C# Without octave key,0000000000000_0000000000,75,Eb With octave key,1010110000000_1100110000
2,30,82,Bb With octave key (side key),1010100000000_0000000001,91,High F# (front),1100100000000_0010000000
2,25,75,Eb With octave key,1010110000000_1100110000,90,High F# (side),1000000000111_0010000100
2,-1,58,Low Bb,0010110001000_1100101000,63,Eb Without octave key,0010110000000_1100110000
2,125,62,D Without octave key,0010110000000_1100100000,89,High F (front),1100100000000_0000000000
2,69,65,F Without octave key,0010110000000_1000000000,67,F# Without octave key (Chromatic),0010110000000_1001000000
2,22,79,G With octave key,1010110000000_0000000000,82,Bb With octave key (side key),1010100000000_0000000001
2,142,58,Low Bb,0010110001000_1100101000,74,D With octave key,1010110000000_1100100000
2,31,90,High F# (side),1000000000111_0010000100,91,High F# (front),1100100000000_0010000000
2,48,72,C Without octave key,0000100000000_0000000000,74,D With octave key,1010110000000_1100100000
2,20,74,D With octave key,1010110000000_1100100000,91,High F# (front),1100100000000_0010000000
2,73,60,Low C,0010110000000_1100101000,86,High D,1000000000001_0000000000
2,61,73,C# Without octave key,0000000000000_0000000000,82,Bb With octave key (side key),1010100000000_0000000001
2,69,64,E Without octave key,0010110000000_1100000000,66,F# Without octave key (main),0010110000000_0100000000
2,69,66,F# Without octave key (main),0010110000000_0100000000,68,G# Without octave key (default),0010111000000_0000000000
2,142,65,F Without octave key,0010110000000_1000000000,80,G# With octave key (default),1010111000000_0000000000
2,61,70,Bb Without octave key (side key),0010100000000_0000000000,82,Bb With octave key (side key),1010100000000_0000000001
2,142,59,Low B,0010110010000_1100101000,74,D With octave key,1010110000000_1100100000
2,-1,58,Low Bb,0010110001000_1100101000,60,Low C,0010110000000_1100101000
