Filename,Cluster,Midi 1 (transposed as written for TS),Fingering 1 Name,Fingering 1 Encoding,Midi 2 (transposed as written for TS),Fingering 2 Name,Fingering 2 Encoding,(Normalised) Trill Speed,Strength 0.2
Trill579.wav,106,67,G Without octave key,0010110000000_0000000000,83,B With octave key,1010000000000_0000000000,1.6499789380442251
Trill580.wav,104,82,Bb With octave key (side key),1010100000000_0000000001,89,High F (side),1000000000111_0000000100,1.3190789888498546
Trill712.wav,131,69,A Without octave key,0010100000000_0000000000,75,Eb With octave key,1010110000000_1100110000,2.333013120715304
Trill713.wav,130,74,D With octave key,1010110000000_1100100000,81,A With octave key,1010100000000_0000000000,2.348288875833424
Trill714.wav,134,62,D Without octave key,0010110000000_1100100000,71,B Without octave key,0010000000000_0000000000,3.0620810925606485
Trill715.wav,133,62,D Without octave key,0010110000000_1100100000,73,C# Without octave key,0000000000000_0000000000,3.0061560492373545
Trill716.wav,132,61,Low C#,0010110100000_1100101000,64,E Without octave key,0010110000000_1100000000,3.4483685209510404
Trill717.wav,136,79,G With octave key,1010110000000_0000000000,90,High F# (front),1100100000000_0010000000,0.9360176454934739
Trill718.wav,138,62,D Without octave key,0010110000000_1100100000,70,Bb Without octave key (Bis key),0011100000000_0000000000,3.5451163377380492
Trill719.wav,-1,60,Low C,0010110000000_1100101000,65,F Without octave key,0010110000000_1000000000,3.8304538971563042
Trill720.wav,142,70,Bb Without octave key (side key),0010100000000_0000000001,79,G With octave key,1010110000000_0000000000,1.992961423214941
Trill721.wav,130,74,D With octave key,1010110000000_1100100000,80,G# With octave key (default),1010111000000_0000000000,3.6119949619776914
Trill722.wav,-1,79,G With octave key,1010110000000_0000000000,84,C With octave key,1000100000000_0000000000,3.646044871453596
Trill723.wav,141,61,Low C#,0010110100000_1100101000,65,F Without octave key,0010110000000_1000000000,4.062178117680002
Trill724.wav,129,82,Bb With octave key (Bis key),1011100000000_0000000000,89,High F (front),1100100000000_0000000000,0.9872683276633221
Trill725.wav,141,61,Low C#,0010110100000_1100101000,66,F# Without octave key (main),0010110000000_0100000000,3.520003683635729
Trill726.wav,134,63,Eb Without octave key,0010110000000_1100110000,73,C# Without octave key,0000000000000_0000000000,4.018383733468155
Trill727.wav,132,59,Low B,0010110010000_1100101000,62,D Without octave key,0010110000000_1100100000,3.573763739897286
Trill728.wav,141,60,Low C,0010110000000_1100101000,64,E Without octave key,0010110000000_1100000000,3.9424041256715054
Trill729.wav,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000,6.336042654112825
Trill730.wav,136,80,G# With octave key (default),1010111000000_0000000000,90,High F# (front),1100100000000_0010000000,0.6837269441645577
Trill731.wav,142,71,B Without octave key,0010000000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000,1.8605284499028354
Trill732.wav,142,71,B Without octave key,0010000000000_0000000000,81,A With octave key,1010100000000_0000000000,2.0626542281336797
Trill733.wav,136,80,G# With octave key (default),1010111000000_0000000000,89,High F (front),1100100000000_0000000000,1.4799265968267858
Trill734.wav,142,69,A Without octave key,0010100000000_0000000000,80,G# With octave key (default),1010111000000_0000000000,1.900419959899314
Trill735.wav,139,61,Low C#,0010110100000_1100101000,62,D Without octave key,0010110000000_1100100000,4.193216121476521
Trill736.wav,131,68,G# Without octave key (default),0010111000000_0000000000,75,Eb With octave key,1010110000000_1100110000,1.929934010228908
Trill737.wav,134,62,D Without octave key,0010110000000_1100100000,72,C Without octave key,0000100000000_0000000000,3.3013343354590274
Trill738.wav,142,72,C Without octave key,0000100000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000,1.7934307176637505
Trill739.wav,142,70,Bb Without octave key (Bis key),0011100000000_0000000000,80,G# With octave key (default),1010111000000_0000000000,1.5409600334027955
Trill740.wav,142,73,C# Without octave key,0000000000000_0000000000,83,B With octave key,1010000000000_0000000000,2.4434475340710993
Trill741.wav,131,67,G Without octave key,0010110000000_0000000000,74,D With octave key,1010110000000_1100100000,1.9655635540916383
Trill742.wav,130,75,Eb With octave key,1010110000000_1100110000,80,G# With octave key (default),1010111000000_0000000000,3.688949799669708
Trill743.wav,130,74,D With octave key,1010110000000_1100100000,79,G With octave key,1010110000000_0000000000,4.6935232592632286
Trill744.wav,136,78,F# With octave key (Chromatic),1010110000000_1001000000,89,High F (front),1100100000000_0000000000,1.5282597131716031
Trill745.wav,-1,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000,5.2033838955587814
Trill746.wav,133,74,D With octave key,1010110000000_1100100000,84,C With octave key,1000100000000_0000000000,1.9216499745424946
Trill747.wav,142,72,C Without octave key,0000100000000_0000000000,81,A With octave key,1010100000000_0000000000,2.1535386459942347
Trill748.wav,136,79,G With octave key,1010110000000_0000000000,89,High F (front),1100100000000_0000000000,1.7651451559386768
Trill749.wav,139,60,Low C,0010110000000_1100101000,61,Low C#,0010110100000_1100101000,5.241520151849445
Trill750.wav,142,73,C# Without octave key,0000000000000_0000000000,84,C With octave key,1000100000000_0000000000,2.4024363904890804
Trill751.wav,135,75,Eb With octave key,1010110000000_1100110000,83,B With octave key,1010000000000_0000000000,2.9550450290878367
Trill752.wav,-1,62,D Without octave key,0010110000000_1100100000,74,D With octave key,1010110000000_1100100000,1.3147583422931282
Trill753.wav,-1,81,A With octave key,1010100000000_0000000000,88,High E,1000000000011_0000000100,2.6416113883897663
Trill754.wav,137,66,F# Without octave key (Chromatic),0010110000000_1001000000,74,D With octave key,1010110000000_1100100000,1.0492332166409097
Trill755.wav,138,64,E Without octave key,0010110000000_1100000000,73,C# Without octave key,0000000000000_0000000000,3.990415963858198
Trill756.wav,130,75,Eb With octave key,1010110000000_1100110000,81,A With octave key,1010100000000_0000000000,2.8910545606357534
Trill757.wav,132,60,Low C,0010110000000_1100101000,62,D Without octave key,0010110000000_1100100000,3.6723283982011026
Trill758.wav,140,81,A With octave key,1010100000000_0000000000,90,High F# (front),1100100000000_0010000000,1.1074164747450241
Trill759.wav,140,81,A With octave key,1010100000000_0000000000,89,High F (front),1100100000000_0000000000,1.9957109292742101
Trill760.wav,142,70,Bb Without octave key (Bis key),0011100000000_0000000000,81,A With octave key,1010100000000_0000000000,2.041407506620586
Trill761.wav,139,59,Low B,0010110010000_1100101000,60,Low C,0010110000000_1100101000,5.100529894600331
Trill762.wav,142,68,G# Without octave key (default),0010111000000_0000000000,78,F# With octave key (main),1010110000000_0100000000,1.7091865846309793
Trill763.wav,137,66,F# Without octave key (Chromatic),0010110000000_1001000000,75,Eb With octave key,1010110000000_1100110000,1.1253226454415413
